                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.834,                 2.0878,                 2.3507,                 1.2973,                0.83367,                0.22444,                0.26433,                0.14164,                0.83367,                0.22444,                0.25454,                 0.1139,                  1.995,                 2.2938,                 2.6117,                 1.3052,                      0,                      0,                      0
                      2,                 1.8341,                 2.0644,                  2.436,                 1.2892,                0.83173,                0.22444,                0.26339,                0.14048,                0.83173,                0.22444,                0.25361,                0.11387,                 1.9995,                  2.287,                 2.6113,                  1.309,             7.6139e-06,             7.6139e-06,             7.6139e-06
                      3,                 1.7532,                 2.0288,                 2.4648,                 1.3105,                0.83461,                0.22222,                0.26324,                0.14092,                0.83461,                0.22222,                0.25246,                0.11502,                 1.9977,                 2.2856,                 2.6059,                 1.3085,             1.5075e-05,             1.5075e-05,             1.5075e-05
                      4,                 1.8855,                 2.0682,                 2.4831,                   1.31,                0.84659,                0.21746,                0.26416,                0.14305,                0.84659,                0.21746,                0.25284,                0.11175,                 2.0019,                 2.2891,                 2.5927,                 1.3087,             2.2385e-05,             2.2385e-05,             2.2385e-05
                      5,                 1.7586,                 2.0068,                 2.2862,                   1.25,                0.85829,                0.21734,                0.26595,                0.14432,                0.85829,                0.21734,                0.25573,                0.11009,                 2.0191,                 2.3079,                 2.5749,                  1.312,             2.9542e-05,             2.9542e-05,             2.9542e-05
                      6,                 1.8438,                 2.0428,                 2.4746,                 1.3752,                0.86395,                0.21556,                0.27029,                0.14687,                0.86395,                0.21556,                0.25567,                0.10968,                 2.0186,                 2.3115,                 2.5698,                 1.3176,             3.6547e-05,             3.6547e-05,             3.6547e-05
                      7,                 1.8944,                 2.1245,                 2.4339,                 1.3276,                0.86777,                0.21229,                0.27574,                0.15146,                0.86777,                0.21229,                0.25763,                0.11083,                 2.0051,                  2.303,                 2.5727,                 1.3186,             4.3399e-05,             4.3399e-05,             4.3399e-05
                      8,                  1.829,                 2.0243,                 2.5273,                 1.3345,                0.85358,                0.23466,                0.27944,                0.15607,                0.85358,                0.23466,                0.26078,                0.11687,                 2.0023,                 2.3005,                 2.5818,                 1.3234,               5.01e-05,               5.01e-05,               5.01e-05
                      9,                 1.8177,                 2.0077,                 2.3973,                  1.291,                0.86198,                0.22451,                0.30501,                0.16684,                0.85968,                0.22228,                0.28259,                0.12374,                 2.0018,                 2.2859,                 2.5932,                 1.3301,             5.6648e-05,             5.6648e-05,             5.6648e-05
                     10,                 1.8953,                 2.0514,                    2.4,                 1.3844,                0.86702,                0.22085,                0.31542,                0.17576,                0.86702,                0.22085,                0.29531,                0.13086,                 2.0046,                 2.2801,                 2.5973,                 1.3331,             6.3043e-05,             6.3043e-05,             6.3043e-05
                     11,                  1.831,                  2.112,                 2.3777,                 1.3158,                0.86433,                0.23302,                0.31254,                0.17443,                0.86433,                0.23302,                0.29456,                0.13355,                 1.9921,                 2.2504,                 2.6085,                 1.3375,             6.9287e-05,             6.9287e-05,             6.9287e-05
                     12,                 1.8196,                 2.1219,                  2.219,                 1.2951,                0.87982,                0.21229,                0.30275,                0.17154,                0.87982,                0.21229,                0.28779,                0.13567,                 1.9789,                 2.2154,                 2.6217,                 1.3458,             7.5378e-05,             7.5378e-05,             7.5378e-05
                     13,                 1.8523,                  2.088,                 2.3319,                 1.3222,                0.88063,                0.22188,                0.30084,                0.16858,                0.88063,                0.22188,                0.28155,                0.13342,                 1.9746,                 2.1994,                  2.647,                 1.3575,             8.1317e-05,             8.1317e-05,             8.1317e-05
                     14,                 1.7806,                 2.0552,                 2.4665,                 1.3175,                0.88347,                0.21632,                0.29078,                0.16015,                0.88347,                0.21632,                0.26844,                0.12871,                 1.9749,                 2.1957,                 2.6838,                 1.3782,             8.7104e-05,             8.7104e-05,             8.7104e-05
                     15,                   1.77,                  1.981,                 2.2621,                 1.3089,                0.88508,                0.21397,                  0.289,                0.16215,                0.88508,                0.21397,                0.27069,                0.12895,                 1.9682,                 2.2072,                 2.6955,                 1.3786,             9.2738e-05,             9.2738e-05,             9.2738e-05
                     16,                 1.7534,                 2.0229,                 2.2886,                 1.2535,                0.88535,                0.21249,                0.26892,                0.15895,                0.88535,                0.21249,                 0.2531,                0.11982,                 1.9841,                 2.2143,                 2.7146,                 1.3937,             9.8221e-05,             9.8221e-05,             9.8221e-05
                     17,                 1.7853,                 2.0253,                 2.1781,                 1.2812,                0.90798,                0.18778,                0.29356,                0.16639,                0.90798,                0.18778,                0.27676,                0.12133,                 1.9955,                 2.2407,                 2.6982,                 1.4005,             0.00010355,             0.00010355,             0.00010355
                     18,                 1.7458,                 1.9689,                 2.3321,                 1.3265,                0.90798,                0.18778,                0.29356,                0.16639,                0.90798,                0.18778,                0.27676,                0.12133,                 1.9955,                 2.2407,                 2.6982,                 1.4005,             0.00010873,             0.00010873,             0.00010873
                     19,                 1.7649,                 1.9906,                 2.2732,                  1.308,                0.86658,                0.21897,                0.28674,                0.16129,                0.90103,                0.18634,                0.27108,                0.11963,                      2,                  2.259,                 2.7086,                 1.4134,             0.00011375,             0.00011375,             0.00011375
                     20,                  1.797,                 1.9494,                 2.1864,                 1.2834,                0.86658,                0.21897,                0.28674,                0.16129,                0.90103,                0.18634,                0.27108,                0.11963,                      2,                  2.259,                 2.7086,                 1.4134,             0.00011863,             0.00011863,             0.00011863
                     21,                 1.7465,                 1.9158,                  2.226,                 1.3118,                0.89763,                0.19067,                0.29509,                  0.159,                0.89369,                0.18845,                0.28418,                0.12588,                 2.0239,                 2.2896,                 2.7101,                 1.4391,             0.00012335,             0.00012335,             0.00012335
                     22,                 1.8166,                 1.9723,                 2.1585,                 1.3022,                0.89763,                0.19067,                0.29509,                  0.159,                0.89369,                0.18845,                0.28418,                0.12588,                 2.0239,                 2.2896,                 2.7101,                 1.4391,             0.00012792,             0.00012792,             0.00012792
                     23,                 1.7713,                 1.9079,                 2.2469,                 1.2949,                 0.5757,                0.26848,                0.27155,                0.14778,                0.57307,                0.26626,                0.27096,                0.11314,                 2.0215,                 2.3236,                 2.6868,                  1.443,             0.00013233,             0.00013233,             0.00013233
                     24,                 1.7655,                 1.9393,                 2.1208,                 1.2625,                 0.5757,                0.26848,                0.27155,                0.14778,                0.57307,                0.26626,                0.27096,                0.11314,                 2.0215,                 2.3236,                 2.6868,                  1.443,              0.0001366,              0.0001366,              0.0001366
                     25,                 1.8058,                 1.9891,                 2.1739,                 1.3319,                0.75393,                0.24885,                0.27876,                0.15386,                0.75099,                0.24662,                0.27709,                0.11426,                 2.0233,                 2.3307,                 2.6569,                 1.4484,             0.00014071,             0.00014071,             0.00014071
                     26,                 1.7504,                 1.9297,                 2.0592,                 1.2976,                0.75393,                0.24885,                0.27876,                0.15386,                0.75099,                0.24662,                0.27709,                0.11426,                 2.0233,                 2.3307,                 2.6569,                 1.4484,             0.00014467,             0.00014467,             0.00014467
                     27,                 1.7402,                 1.9814,                 2.1206,                 1.2533,                0.55331,                0.26857,                0.27567,                0.15311,                0.54993,                0.26635,                0.27404,                0.11827,                 2.0389,                 2.3119,                 2.6435,                 1.4595,             0.00014848,             0.00014848,             0.00014848
                     28,                 1.7447,                 2.0362,                 2.1173,                 1.2654,                0.55331,                0.26857,                0.27567,                0.15311,                0.54993,                0.26635,                0.27404,                0.11827,                 2.0389,                 2.3119,                 2.6435,                 1.4595,             0.00015213,             0.00015213,             0.00015213
                     29,                 1.8187,                 2.0903,                  2.083,                 1.2987,                0.77678,                0.21723,                0.27412,                 0.1509,                0.57644,                0.27432,                0.27422,                 0.1167,                 2.0526,                 2.3029,                 2.6311,                  1.471,             0.00015563,             0.00015563,             0.00015563
                     30,                 1.7461,                 1.9523,                 1.9805,                 1.2823,                0.77678,                0.21723,                0.27412,                 0.1509,                0.57644,                0.27432,                0.27422,                 0.1167,                 2.0526,                 2.3029,                 2.6311,                  1.471,             0.00015898,             0.00015898,             0.00015898
                     31,                 1.7692,                 1.9946,                 2.0122,                 1.2692,                0.60713,                0.27791,                0.26771,                0.15053,                 0.6044,                0.27568,                0.26499,                0.11356,                 2.0501,                 2.2843,                  2.635,                 1.4722,             0.00016218,             0.00016218,             0.00016218
                     32,                 1.7092,                 1.8823,                 2.0734,                 1.3126,                0.60713,                0.27791,                0.26771,                0.15053,                 0.6044,                0.27568,                0.26499,                0.11356,                 2.0501,                 2.2843,                  2.635,                 1.4722,             0.00016523,             0.00016523,             0.00016523
                     33,                 1.7054,                 1.9123,                 2.0218,                 1.3081,                 0.6049,                0.27118,                0.26849,                0.15087,                0.58926,                0.26895,                 0.2561,                0.11942,                 2.0443,                 2.2481,                  2.656,                 1.4848,             0.00016812,             0.00016812,             0.00016812
                     34,                 1.7637,                 1.8815,                 2.0108,                 1.3379,                 0.6049,                0.27118,                0.26849,                0.15087,                0.58926,                0.26895,                 0.2561,                0.11942,                 2.0443,                 2.2481,                  2.656,                 1.4848,             0.00017086,             0.00017086,             0.00017086
                     35,                 1.7071,                 1.9224,                  2.016,                 1.2882,                0.61004,                0.27292,                0.27324,                0.15467,                0.60715,                 0.2707,                0.26597,                0.11929,                 2.0396,                 2.2119,                 2.6441,                 1.4866,             0.00017345,             0.00017345,             0.00017345
                     36,                 1.7324,                 1.8901,                 1.9647,                 1.2909,                0.61004,                0.27292,                0.27324,                0.15467,                0.60715,                 0.2707,                0.26597,                0.11929,                 2.0396,                 2.2119,                 2.6441,                 1.4866,             0.00017589,             0.00017589,             0.00017589
                     37,                 1.7019,                 1.9378,                 1.9752,                 1.2821,                 0.6248,                0.26985,                0.27709,                0.15949,                0.62184,                0.26763,                0.27182,                0.12314,                  2.022,                 2.1874,                 2.6245,                 1.4822,             0.00017817,             0.00017817,             0.00017817
                     38,                 1.7294,                 1.7968,                 1.8518,                 1.2818,                 0.6248,                0.26985,                0.27709,                0.15949,                0.62184,                0.26763,                0.27182,                0.12314,                  2.022,                 2.1874,                 2.6245,                 1.4822,             0.00018031,             0.00018031,             0.00018031
